date,shooting_no
20/12/2018,1
21/12/2018,2
23/12/2018,2
24/12/2018,1
25/12/2018,2
26/12/2018,3
28/12/2018,4
29/12/2018,1
30/12/2018,3
31/12/2018,3
1/01/2019,2
2/01/2019,3
3/01/2019,6
4/01/2019,4
5/01/2019,4
6/01/2019,3
7/01/2019,3
10/01/2019,2
11/01/2019,4
12/01/2019,2
13/01/2019,3
14/01/2019,6
15/01/2019,5
16/01/2019,6
18/01/2019,1
19/01/2019,3
20/01/2019,1
21/01/2019,1
22/01/2019,1
23/01/2019,5
24/01/2019,2
25/01/2019,1
27/01/2019,1
28/01/2019,8
29/01/2019,2
30/01/2019,2
1/02/2019,1
2/02/2019,3
3/02/2019,2
4/02/2019,2
5/02/2019,1
6/02/2019,4
7/02/2019,6
8/02/2019,1
9/02/2019,4
10/02/2019,2
11/02/2019,3
12/02/2019,4
13/02/2019,2
14/02/2019,3
15/02/2019,1
16/02/2019,2
17/02/2019,2
18/02/2019,2
19/02/2019,2
20/02/2019,2
22/02/2019,5
23/02/2019,4
24/02/2019,1
25/02/2019,2
26/02/2019,4
27/02/2019,1
28/02/2019,2
1/03/2019,3
2/03/2019,3
4/03/2019,5
5/03/2019,4
6/03/2019,1
7/03/2019,3
8/03/2019,1
9/03/2019,5
10/03/2019,4
11/03/2019,1
12/03/2019,3
13/03/2019,4
14/03/2019,4
15/03/2019,1
16/03/2019,1
17/03/2019,1
18/03/2019,1
19/03/2019,4
20/03/2019,3
21/03/2019,1
22/03/2019,2
24/03/2019,2
25/03/2019,4
27/03/2019,7
28/03/2019,1
30/03/2019,3
31/03/2019,4
1/04/2019,3
2/04/2019,1
3/04/2019,4
4/04/2019,2
6/04/2019,1
7/04/2019,3
8/04/2019,1
9/04/2019,3
10/04/2019,4
11/04/2019,4
12/04/2019,3
14/04/2019,6
15/04/2019,1
16/04/2019,2
17/04/2019,2
18/04/2019,3
20/04/2019,4
21/04/2019,1
22/04/2019,2
24/04/2019,2
25/04/2019,1
26/04/2019,1
28/04/2019,2
29/04/2019,5
30/04/2019,2
1/05/2019,3
2/05/2019,2
4/05/2019,4
5/05/2019,1
6/05/2019,1
7/05/2019,3
9/05/2019,3
10/05/2019,1
11/05/2019,4
13/05/2019,3
14/05/2019,1
15/05/2019,3
16/05/2019,2
17/05/2019,3
18/05/2019,2
19/05/2019,4
20/05/2019,3
21/05/2019,2
22/05/2019,3
23/05/2019,3
24/05/2019,3
26/05/2019,1
27/05/2019,2
28/05/2019,1
29/05/2019,1
30/05/2019,3
31/05/2019,2
1/06/2019,3
2/06/2019,1
3/06/2019,4
4/06/2019,2
5/06/2019,4
6/06/2019,8
7/06/2019,1
8/06/2019,2
9/06/2019,4
10/06/2019,3
11/06/2019,3
12/06/2019,2
13/06/2019,2
15/06/2019,5
16/06/2019,3
17/06/2019,3
18/06/2019,2
20/06/2019,2
22/06/2019,2
23/06/2019,1
24/06/2019,3
25/06/2019,2
26/06/2019,2
27/06/2019,7
28/06/2019,4
29/06/2019,2
1/07/2019,4
2/07/2019,3
3/07/2019,5
4/07/2019,2
5/07/2019,5
6/07/2019,1
7/07/2019,3
8/07/2019,1
9/07/2019,3
10/07/2019,2
11/07/2019,2
13/07/2019,4
14/07/2019,3
15/07/2019,2
16/07/2019,4
17/07/2019,3
18/07/2019,3
19/07/2019,2
21/07/2019,2
22/07/2019,2
23/07/2019,3
25/07/2019,1
26/07/2019,3
28/07/2019,1
30/07/2019,1
31/07/2019,4
1/08/2019,4
2/08/2019,2
3/08/2019,3
4/08/2019,2
5/08/2019,7
6/08/2019,1
7/08/2019,1
8/08/2019,1
9/08/2019,2
10/08/2019,1
12/08/2019,2
13/08/2019,5
16/08/2019,1
17/08/2019,4
18/08/2019,1
19/08/2019,1
21/08/2019,3
22/08/2019,3
23/08/2019,2
24/08/2019,1
26/08/2019,1
27/08/2019,2
28/08/2019,3
30/08/2019,1
31/08/2019,3
1/09/2019,2
2/09/2019,2
3/09/2019,3
4/09/2019,1
5/09/2019,2
6/09/2019,1
7/09/2019,1
8/09/2019,1
9/09/2019,3
10/09/2019,1
11/09/2019,2
12/09/2019,3
13/09/2019,1
14/09/2019,4
15/09/2019,2
16/09/2019,3
17/09/2019,3
18/09/2019,4
